CLASE ACCIDENTE,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-CORREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CODIGO,CONDICION DE LA VICTIMA,GRAVEDAD,EDAD,GENERO,LESIONADOS Y MUERTOS,CLINICA,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T09:30:00.000,MAÑANA,SABADO,BARRIO NUEVO,CALLE 19 CARRERA 32,URBANA,TECNICO,3.51833,-76.304,IMPERICIA EN EL MANEJO,139,MOTOCICLISTA,CHOQUE,22,MASCULINO,LESIONADO,PALMIRA,MOTO,YAMAHA,META,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T09:30:00.000,MAÑANA,SABADO,BARRIO NUEVO,CALLE 19 CARRERA 32,URBANA,TECNICO,3.51833,-76.304,IMPERICIA EN EL MANEJO,139,MOTOCICLISTA,CHOQUE,37,MASCULINO,LESIONADO,PALMIRA,MOTO,SUZUKI,FLORIDA,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T11:15:00.000,MAÑANA,SABADO,POBLADO,CARRERA 18 CALLE 44,URBANA,TECNICO,3.53869,-76.28967,NO RESPETAR PRELACION,132,NO APLICA,CHOQUE,31,MASCULINO,NO APLICA,NO APLICA,MOTO,YAMAHA,ARMENIA,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T11:15:00.000,MAÑANA,SABADO,POBLADO,CARRERA 18 CALLE 44,URBANA,TECNICO,3.53869,-76.28967,NO RESPETAR PRELACION,132,MOTOCICLISTA,CHOQUE,30,MASCULINO,LESIONADO,PALMIRA,MOTO,YAMAHA,PALMIRA,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T11:15:00.000,MAÑANA,SABADO,POBLADO,CARRERA 18 CALLE 44,URBANA,TECNICO,3.53869,-76.28967,NO RESPETAR PRELACION,132,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,28,FEMENINA,LESIONADO,PALMIRA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T13:10:00.000,TARDE,SABADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,3.52657,-76.30258,SEMAFORO EN ROJO,142,NO APLICA,CHOQUE,46,MASCULINO,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,PALMIRA,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T13:10:00.000,TARDE,SABADO,CENTRO,CALLE 29 CARRERA 32,URBANA,TECNICO,3.52657,-76.30258,SEMAFORO EN ROJO,142,MOTOCICLISTA,CHOQUE,19,MASCULINO,LESIONADO,PALMIRA,MOTO,SUZUKI,GUACARI,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T18:00:00.000,NOCHE,SABADO,VIA PALMIRA  BOLO,KM 2,RURAL,TECNICO,3.50154,-76.31755,INVADIR CARRIL SENTIDO CONTRARIO,157,NO APLICA,CHOQUE,23,MASCULINO,NO APLICA,NO APLICA,BUS,HINO,CANDELARIA,PUBLICO,SULTANA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T18:00:00.000,NOCHE,SABADO,VIA PALMIRA  BOLO,KM 2,RURAL,TECNICO,3.50154,-76.31755,INVADIR CARRIL SENTIDO CONTRARIO,157,MOTOCICLISTA,CHOQUE,23,MASCULINO,LESIONADO,PALMIRA,MOTO,BAJAJ,PALMIRA,PARTICULAR,NO APLICA
MUERTO,01/01/2022 12:00:00 AM,"2,022",1899-12-31T21:23:00.000,NOCHE,SABADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,3.61496,-76.39031,POR ESTABLECER,157,MOTOCICLISTA,CHOQUE,26,MASCULINO,MUERTO,NO APLICA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA
MUERTO,01/01/2022 12:00:00 AM,"2,022",1899-12-31T21:23:00.000,NOCHE,SABADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,3.61496,-76.39031,POR ESTABLECER,157,MOTOCICLISTA,CHOQUE,21,MASCULINO,LESIONADO,RAUL,MOTO,HONDA,CALI,PARTICULAR,NO APLICA
MUERTO,01/01/2022 12:00:00 AM,"2,022",1899-12-31T21:23:00.000,NOCHE,SABADO,CENTRO POBLADO ROZO,CALLE 10 CARRERA 14A-418,RURAL,TECNICO,3.61496,-76.39031,POR ESTABLECER,157,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,16,FEMENINA,LESIONADO,RAUL,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T22:20:00.000,NOCHE,SABADO,COLOMBIA,CARRERA 32 CALLE 35,URBANA,TECNICO,3.53249,-76.30178,DESOBEDESER SEÑAL,112,NO APLICA,CHOQUE,21,MASCULINO,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA
HERIDOS,01/01/2022 12:00:00 AM,"2,022",1899-12-31T22:20:00.000,NOCHE,SABADO,COLOMBIA,CARRERA 32 CALLE 35,URBANA,TECNICO,3.53249,-76.30178,DESOBEDESER SEÑAL,112,MOTOCICLISTA,CHOQUE,65,MASCULINO,LESIONADO,PALMIRA,MOTO,SUZUKI,SANTANDER,PARTICULAR,NO APLICA
MUERTO,01/01/2022 12:00:00 AM,"2,022",1899-12-31T20:00:00.000,NOCHE,SABADO,VIA CALI - PALMIRA NORTE,KM 8 + 50 MTS,RURAL,POLICIA,3.50726,-76.41567,TRANSITAR POR LA CALZADA,404,PEATON,ATROPELLO,66,MASCULINO,MUERTO,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
MUERTO,01/09/2022 12:00:00 AM,"2,022",1899-12-31T06:30:00.000,MAÑANA,DOMINGO,VIA CALI - PALMIRA SUR,KM 18 + 600 MTS,RURAL,POLICIA,3.53172,-76.3234,PERDIDA DEL CONTROL DEL VEHICULO,157,MOTOCICLISTA,CHOQUE ARBOL,28,MASCULINO,MUERTO,NO APLICA,MOTO,NO APLICA,NO APLICA,PARTICULAR,NO APLICA
