"No.","DEPARTAMENTO","MUNICIPIO","NOMBRE CON EL QUE SE IDENTIFICA EL ESCENARIO DEPORTIVO","CAPACIDAD DE AFORO DE ESPECTADORES (SI APLICA)","ÁREA CONSTRUIDA EN METROS CUADRADOS","AÑO EN EL QUE SE CONSTRUYÓ LA INFRAESTRUCTURA DEPORTIVA","CASCO URBANO- BARRIO","CENTRO POBLADO","ÁREA RURAL","COORDENADAS DE UBICACIÓN","PROGRAMA QUE SE DESARROLLA","POBLACIÓN MENSUAL ATENDIDA"
"1","Departamento del Cauca","Municipio de Miranda","Cancha de futbol del Polideportivo","3","6.5","1.995","x","","","3.251971, -76.231318","Torneos de futbol, deportes social comunitario","400"
"2","Departamento del Cauca","Municipio de Miranda","Estadio Polideportivo Municipal","2.5","10","1.995","x","","","3.251971, -76.231318","Escuelas de formación de karate y Ajedrez","120"
"3","Departamento del Cauca","Municipio de Miranda","Cancha de futbol del barrio La Castellana","300","4","1.998","x","","","3.246481, -76.225822","Entrenamientos de escuelas de formación deportiva y Torneos de futbol, deportes social comunitario","280"
"4","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol Suerte 40 Etapa 1","60","1.3","2.006","x","","","3.248307, -76.238480","Entrenamiento recreativo Comunidad en general","60"
"5","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol Suerte 40 Etapa 2","100","4.8","2.017","x","","","3.249592, -76.235328","Entrenamientos de escuelas de formación deportiva","120"
"6","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol Piedra Y Cielo","220","600","2.007","x","","","3.269206, -76.221780","Escuelas de formación deportiva","70"
"7","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol I.E. Leopoldo Pizarro G.","400","4.5","1.98","x","","","3.257541, -76.230859","Estudiantes de la institución educativa y escuelas de formación deportiva","300"
"8","Departamento del Cauca","Municipio de Miranda","Cancha múltiple al aire libre Pinar del Rio.","60","504","2.014","x","","","3.260579, -76.230314","Comunidad en general Ocupación del tiempo libre","80"
"9","Departamento del Cauca","Municipio de Miranda","Cancha múltiple al aire libre Piedra y Cielo.","50","504","2.007","x","","","3.269059, -76.221533","Comunidad en general Ocupación del tiempo libre","40"
"10","Departamento del Cauca","Municipio de Miranda","Cancha múltiple al aire barrió Colseguros.","80","392","2.005","x","","","3.258989, -76.228723","Comunidad en general Ocupación del tiempo libre","60"
"11","Departamento del Cauca","Municipio de Miranda","Cancha múltiple al aire libre Barrio el Jardín.","30","392","2.007","x","","","3.245127, -76.232196","Comunidad en general Ocupación del tiempo libre","60"
"12","Departamento del Cauca","Municipio de Miranda","Cancha múltiple I.E Leopoldo Pizarro","150","504","2.018","x","","","3.257077, -76.229737","Estudiantes de la institución educativa","200"
"13","Departamento del Cauca","Municipio de Miranda","Cancha múltiple con cubierta I.E. Técnico Mariscal Sucre.","400","720","2.014","x","","","3.246851, -76.231329","Escuela de formación de Baloncesto y Estudiantes de la institución educativa","450"
"14","Departamento del Cauca","Municipio de Miranda","Cancha múltiple con cubierta I.E. El Rosario.","300","504","2.01","x","","","3.253037, -76.227924","Programa CEDEIN, escuela de voleibol y  Estudiantes de la institución educativa","450"
"15","Departamento del Cauca","Municipio de Miranda","Cancha múltiple con cubierta Plazoleta  Municipal Nizar Bonilla.","1.5","720","1.99","x","","","3.252404, -76.229172","Torneos semanales y escuelas de formación de voleibol","300"
"16","Departamento del Cauca","Municipio de Miranda","Cancha múltiple con cubierta barrio El Porvenir.","80","540","2.014","x","","","3.255843, -76.232042","Comunidad en general Ocupación del tiempo libre y Actividad funcional","100"
"17","Departamento del Cauca","Municipio de Miranda","Cancha Múltiple Barrio Leopoldo Pizarro","200","360","2.018","x","","","3.251152, -76.225415","Escuela de formación de baloncesto y actividad funcional y Comunidad en general Ocupación del tiempo libre","200"
"18","Departamento del Cauca","Municipio de Miranda","Cancha Sintética Polideportivo Municipal.","200","759","2.014","x","","","3.251379, -76.231797","Escuelas de formación y torneos semanales.","180"
"19","Departamento del Cauca","Municipio de Miranda","Cancha Sintética Barrio Unidos.","200","476","2.014","x","","","3.249838, -76.232479","Torneos semanales  y Comunidad en general Ocupación del tiempo libre","160"
"20","Departamento del Cauca","Municipio de Miranda","Placa Polideportivo Municipal","100","1.62","2.018","x","","","3.252067, -76.230750","Escuela de formación de patinaje, baloncesto y voleibol","220"
"21","Departamento del Cauca","Municipio de Miranda","Pista atlética Polideportivo Municipal","150","382","1.996","x","","","3.251506, -76.230766","Escuela de formación de Atletismo y Comunidad en general Ocupación del tiempo libre","160"
"22","Departamento del Cauca","Municipio de Miranda","Cancha Recreacional Chiquilines","1.5","3.2","1.99","x","","","3.267260, -76.221981","Escuela de formación y selección de futbol","125"
"23","Departamento del Cauca","Municipio de Miranda","Piscina Municipal","2","250","1.995","x","","","3.251124, -76.231203","Escuela de formación de Natación y Comunidad en general Ocupación del tiempo libre","420"
"24","Departamento del Cauca","Municipio de Miranda","Piscina C.R. Chiquilines","800","750","1.99","x","","","3.267797, -76.222969","Comunidad en general Ocupación del tiempo libre","400"
"25","Departamento del Cauca","Municipio de Miranda","Piscina I.E. Leopoldo Pizarro G.","200","400","2.004","x","","","3.257461, -76.229957","Estudiantes de la institución","30"
"26","Departamento del Cauca","Municipio de Miranda","Gimnasio biosaludable polideportivo Municipal","200","100","2.017","x","","","3.251506, -76.230766","Comunidad en general Ocupación del tiempo libre","60"
"27","Departamento del Cauca","Municipio de Miranda","Eco parque el Vivero","300","600","2.015","x","","","3.256488, -76.228051","Comunidad en general Ocupación del tiempo libre","80"
"28","Departamento del Cauca","Municipio de Miranda","Cancha Múltiple Cañas Arriba","60","502","2.018","","","x","3.224912, -76.212098","Torneos semanales y Comunidad en general Ocupación del tiempo libre","80"
"29","Departamento del Cauca","Municipio de Miranda","Cancha Múltiple Otoval","60","502","2.018","","","x","3.214649, -76.213551","Torneos semanales y Comunidad en general Ocupación del tiempo libre","80"
"30","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol Vereda Guatemala","300","4.32","1.995","","","x","3.233757, -76.231647","Escuela de formación para adultos y torneos semanales y Comunidad en general Ocupación del tiempo libre","280"
"31","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol corregimiento El Ortigal","300","6.7","1.98","","x","","3.280802, -76.344854","Escuelas de formación deportiva y Comunidad en general Ocupación del tiempo libre","320"
"32","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol vereda El Cabildo","200","3.36","1.99","","","x","3.236469, -76.227234","Escuelas de formación deportiva y torneos semanales","240"
"33","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol vereda Monterredondo","200","5.6","1.99","","","x","3.215768, -76.200056","Escuelas de formación deportiva y torneos semanales y Comunidad en general Ocupación del tiempo libre","280"
"34","Departamento del Cauca","Municipio de Miranda","Cancha de Futbol vereda la Munda","100","5.6","1.994","","","x","3.232899, -76.266837","Comunidad en general Ocupación del tiempo libre y torneos semanales","80"
"35","Departamento del Cauca","Municipio de Miranda","Cancha De Futbol Vereda Santa Ana","200","5.6","1.998","","x","","3.268017, -76.284575","Escuela de formación, torneos semanales y Comunidad en general Ocupación del tiempo libre","180"
